Epoch,Index,Answer,Output,Error,Fact
1193,21,1,[0.86378469],[0.13621531],Good Fact
1193,22,0,[0.31597977],[-0.31597977],Bad Fact
1193,23,0,[0.12906723],[-0.12906723],Good Fact
1193,24,1,[0.49678673],[0.50321327],Bad Fact
1193,25,0,[0.16814659],[-0.16814659],Good Fact
1193,26,1,[0.26966934],[0.73033066],Bad Fact
1194,1,0,[0.11882092],[-0.11882092],Good Fact
1194,2,0,[0.19618158],[-0.19618158],Good Fact
1194,3,1,[0.80149478],[0.19850522],Good Fact
1194,4,0,[0.18316677],[-0.18316677],Good Fact
1194,5,1,[0.81070974],[0.18929026],Good Fact
1194,6,1,[0.82431806],[0.17568194],Good Fact
1194,7,0,[0.18728326],[-0.18728326],Good Fact
1194,8,0,[0.05223562],[-0.05223562],Good Fact
1194,9,0,[0.04256776],[-0.04256776],Good Fact
1194,10,1,[0.9457988],[0.0542012],Good Fact
1194,11,1,[0.49640527],[0.50359473],Bad Fact
1194,12,0,[0.03840052],[-0.03840052],Good Fact
1194,13,1,[0.82462802],[0.17537198],Good Fact
1194,14,0,[0.18594979],[-0.18594979],Good Fact
1194,15,0,[0.19316076],[-0.19316076],Good Fact
1194,16,1,[0.85861877],[0.14138123],Good Fact
1194,17,0,[0.35481845],[-0.35481845],Bad Fact
1194,18,1,[0.80672549],[0.19327451],Good Fact
1194,19,1,[0.80477108],[0.19522892],Good Fact
1194,20,1,[0.49002111],[0.50997889],Bad Fact
1194,21,1,[0.86265699],[0.13734301],Good Fact
1194,22,0,[0.31319954],[-0.31319954],Bad Fact
1194,23,0,[0.12883774],[-0.12883774],Good Fact
1194,24,1,[0.49680656],[0.50319344],Bad Fact
1194,25,0,[0.16846804],[-0.16846804],Good Fact
1194,26,1,[0.2676458],[0.7323542],Bad Fact
1195,1,0,[0.11830368],[-0.11830368],Good Fact
1195,2,0,[0.19705497],[-0.19705497],Good Fact
1195,3,1,[0.80000191],[0.19999809],Good Fact
1195,4,0,[0.1833352],[-0.1833352],Good Fact
1195,5,1,[0.80908889],[0.19091111],Good Fact
1195,6,1,[0.82311397],[0.17688603],Good Fact
1195,7,0,[0.18751146],[-0.18751146],Good Fact
1195,8,0,[0.05209578],[-0.05209578],Good Fact
1195,9,0,[0.04243863],[-0.04243863],Good Fact
1195,10,1,[0.94540895],[0.05459105],Good Fact
1195,11,1,[0.49642733],[0.50357267],Bad Fact
1195,12,0,[0.03827096],[-0.03827096],Good Fact
1195,13,1,[0.82359895],[0.17640105],Good Fact
1195,14,0,[0.18592957],[-0.18592957],Good Fact
